open,high,low,close,volume
22343.94,22344.88,22269.94,22328.18,5575.87165
22328.18,22410.0,22313.21,22364.69,6772.60746
22364.69,22378.23,22351.0,22359.09,3936.88885
22359.44,22363.68,22331.78,22341.21,4199.25017
22341.55,22376.97,22339.51,22350.97,3587.04286
22350.72,22357.68,22322.3,22332.76,4403.12693
22332.84,22358.3,22331.89,22349.46,3421.02678
22349.46,22398.0,22338.84,22385.31,5043.61663
22385.31,22388.22,22355.37,22355.8,4202.97939
22355.8,22368.0,22331.13,22342.79,4918.68309
22343.18,22352.48,22307.98,22317.87,5082.7188
22317.38,22347.93,22293.05,22324.86,5340.06662
22324.9,22333.97,22301.85,22307.12,3412.49485
22306.85,22332.0,22245.43,22320.97,4645.85724
22320.66,22326.2,22227.2,22250.78,5085.56443
22250.67,22265.0,22184.0,22250.34,8543.67924
22250.33,22251.61,22157.08,22213.65,9870.41959
22213.65,22359.0,22202.0,22305.98,7313.93543
22306.45,22353.2,22290.78,22346.57,4385.20681
22346.57,22389.32,22313.41,22379.25,5458.32443
22379.83,22662.09,22348.0,22591.68,19036.63222
22591.14,22612.84,22189.22,22360.82,16198.56489
22360.82,22441.05,22356.5,22387.02,7129.15803
22387.02,22470.93,22378.18,22440.73,6705.11842
22440.73,22446.56,22391.18,22418.99,3884.5023
22419.32,22427.0,22401.54,22415.73,3596.06691
22415.76,22421.21,22365.26,22375.7,5114.22735
22375.7,22399.45,22328.0,22342.71,5206.97415
22342.09,22398.28,22316.63,22368.47,5240.4889
22369.14,22448.8,22363.27,22410.83,5446.74669
22410.83,22422.54,22381.0,22389.77,4195.79843
22390.12,22444.0,22388.57,22420.34,4665.11241
22419.89,22494.96,22418.02,22465.77,7748.08011
22465.77,22478.87,22417.01,22432.46,5437.93651
22431.75,22470.7,22421.5,22436.18,4576.90893
22436.7,22460.07,22421.28,22442.92,4436.7045
22442.92,22455.0,22419.82,22427.47,3280.75121
22427.47,22449.51,22422.02,22429.26,3058.34398
22428.98,22450.0,22374.6,22403.45,5493.7921
22403.45,22425.0,22395.8,22409.05,3495.35861
22408.58,22560.0,22331.0,22483.46,11941.94716
22483.46,22486.86,22380.0,22433.0,5630.39284
22432.48,22462.22,22361.75,22430.24,7863.82678
22430.24,22470.08,22361.43,22446.48,6995.2835
22446.48,22508.0,22322.34,22379.24,13476.08464
22378.49,22405.94,22258.0,22391.58,13345.40628
22391.12,22417.29,22368.35,22387.19,4454.02779
22387.19,22399.6,22334.06,22342.63,5464.70816
22342.63,22372.32,22313.94,22370.18,5278.67525
22369.79,22436.0,22364.8,22405.93,4976.03351
22406.59,22434.0,22385.12,22392.74,5121.62517
22392.74,22450.0,22356.08,22413.23,8219.82713
22413.23,22421.3,22364.07,22403.68,6645.55743
22403.09,22414.0,22371.0,22399.78,6252.80739
22399.78,22402.63,22355.0,22379.57,7025.94946
22379.95,22413.54,22357.08,22397.42,6275.93365
22397.72,22487.99,22387.01,22439.77,10229.51494
22440.32,22483.92,22403.2,22450.0,11368.76483
22449.46,22602.19,22432.07,22553.42,16288.43096
22554.43,22586.98,22465.6,22524.46,13401.27685
22524.46,22536.07,22470.89,22481.63,7812.16565
22481.63,22539.68,22465.0,22504.09,8130.25619
22504.08,22512.72,22358.0,22393.35,15939.35736
22393.35,22416.41,22331.0,22352.17,9704.53262
22352.17,22439.99,22320.01,22408.53,6259.16469
22408.53,22450.0,22407.08,22433.65,4722.66921
22433.65,22446.09,22390.07,22410.0,6363.77691
22409.41,22428.0,22377.69,22415.92,6254.62047
